uuid,symbol,name,color,iconUrl,marketCap,price,listedAt,change,rank,sparkline,lowVolume,coinrankingUrl,24hVolume,btcPrice,contractAddresses,chains
VLqpJwogdhHNb,LINK,Chainlink,#2c5cdc,https://cdn.coinranking.com/9NOP9tOem/chainlink.svg,8532465305,14.031352934343772,1505952000,-1.58,19,"[""14.30630196731074"", ""14.295157875059815"", ""14.329350899601913"", ""14.278403242835989"", ""14.119583476335688"", ""14.142811895344643"", ""14.161235053739393"", ""14.11855476238519"", ""14.128810751568082"", ""14.139004068611031"", ""14.159963154409144"", ""14.073315633785406"", ""13.981799682261947"", ""13.927107234035228"", ""14.018069818038407"", ""14.103888548055687"", ""14.065106608337008"", ""14.048444322085647"", ""13.962270199668001"", ""13.78646731891237"", ""13.807256579683278"", ""13.826602995051207"", ""13.979800558826408"", null]",False,https://coinranking.com/coin/VLqpJwogdhHNb+chainlink-link,211732209,0.000209844236705,"[""avalanche-dfk/0x5947bb275c521040051d82396192181b413227a3"", ""fantom/0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8"", ""terra-classic/terra12dfv3f0e6m22z6cnhfn3nxk2en3z3zeqy6ctym"", ""heco/0x9e004545c59d359f6b7bfb06a26390b087717b42"", ""polygon/0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39"", ""sora/0x008484148dcf23d1b48908393e7a00d5fdc3bf81029a73eeca62a15ebfb1205a"", ""solana/CWE8jPTUYhdCTZYWPTe1o5DFqfdjzWKc9WKz6rSjQUdG"", ""bnb-smart-chain/0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd"", ""hoo-smart-chain/0x294cde734a863dcf65417992424405bccf3973e7"", ""near/514910771af9ca656af840dff83e8264ecf986ca.factory.bridge.near"", ""optimism/0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6"", ""ethereum/0x514910771af9ca656af840dff83e8264ecf986ca"", ""cronos/0xbc6f24649ccd67ec42342accdceccb2efa27c9d9""]","['avalanche-dfk', 'fantom', 'terra-classic', 'heco', 'polygon', 'sora', 'solana', 'bnb-smart-chain', 'hoo-smart-chain', 'near', 'optimism', 'ethereum', 'cronos']"
qFakph2rpuMOL,MKR,Maker,#1abc9c,https://cdn.coinranking.com/sjHfS7jCS/mkrdao.svg,2550682559,2741.4847335101526,1502236800,-3.22,44,"[""2842.4927562153225"", ""2852.305505294461"", ""2851.5301190312534"", ""2828.498681057558"", ""2781.2699015215294"", ""2735.997665704443"", ""2749.472935817247"", ""2755.946216628778"", ""2747.213544878244"", ""2749.317902530271"", ""2753.4388077129925"", ""2729.4066280030775"", ""2699.2314794249755"", ""2692.318482722825"", ""2697.880533957152"", ""2726.8306445346193"", ""2727.8854089267043"", ""2721.7900013096605"", ""2708.538541491365"", ""2684.4144937828496"", ""2688.299007080451"", ""2690.510363557533"", ""2706.4230545675046"", null]",False,https://coinranking.com/coin/qFakph2rpuMOL+maker-mkr,105138230,0.0409999501854168,"[""polygon/0x6f7C932e7684666C9fd1d44527765433e01fF61d"", ""ethereum/0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2""]","['polygon', 'ethereum']"
7AQlxzQpQ,ONDO,ONDO,#040404,https://cdn.coinranking.com/ntSfLv-Es/ONDO.png,2133253384,1.025519644726998,1701755988,-2.5,50,"[""1.0581289347891865"", ""1.0578892766803452"", ""1.0626953404652495"", ""1.0590050108266824"", ""1.041043013315909"", ""1.039517548089197"", ""1.0410191308549175"", ""1.0427215917757762"", ""1.0442186143820735"", ""1.0460194430648107"", ""1.0475935057469734"", ""1.0421473429436046"", ""1.0317296778639922"", ""1.0285514455547846"", ""1.0339954102930407"", ""1.0420557840119886"", ""1.0432309645951237"", ""1.0420446524332363"", ""1.0327776244545237"", ""1.0119822614744551"", ""1.0101266774719628"", ""1.0102634166375934"", ""1.020346137820057"", null]",False,https://coinranking.com/coin/7AQlxzQpQ+ondo-ondo,117392019,1.53370375672e-05,"[""ethereum/0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3""]",['ethereum']
SzY719EJf,PENDLE,Pendle,#647484,https://cdn.coinranking.com/PQIRSGYk4/9481.png,956721450,4.242979714234761,1651128006,1.71,88,"[""4.214121070554151"", ""4.225960008005708"", ""4.239968818177849"", ""4.221314771666616"", ""4.180381759773586"", ""4.182982688053069"", ""4.155642838421439"", ""4.173185581616326"", ""4.1699680467014035"", ""4.153827719627453"", ""4.151050992286813"", ""4.1200600268095995"", ""4.089245409411465"", ""4.084859573928875"", ""4.1302144644028616"", ""4.222923721111429"", ""4.23667817762631"", ""4.236324001741103"", ""4.2039118603417185"", ""4.126617503322021"", ""4.077622488974447"", ""4.084873488576486"", ""4.186767420834634"", null]",False,https://coinranking.com/coin/SzY719EJf+pendle-pendle,67231116,6.34553805078e-05,"[""avalanche-dfk/0xfB98B335551a418cD0737375a2ea0ded62Ea213b"", ""ethereum/0x808507121B80c02388fAd14726482e061B8da827""]","['avalanche-dfk', 'ethereum']"
sgxZRXbK0FDc,SNX,Synthetix Network,#0c042d,https://cdn.coinranking.com/c2WntZSPs/snx-synthetix.png,600929150,1.831023085284192,1554322020,-0.78,118,"[""1.86041618331656"", ""1.8659878356173916"", ""1.8687907893036202"", ""1.8598426182153234"", ""1.83901778559895"", ""1.8376424974939733"", ""1.841644715003832"", ""1.8338447896400103"", ""1.8465328888076376"", ""1.8536253924889938"", ""1.8641074425924646"", ""1.8438275919184017"", ""1.8271536268292183"", ""1.8198793759455258"", ""1.8203622883180814"", ""1.8419546803657163"", ""1.8360771131444087"", ""1.8179299613947257"", ""1.8008551878865966"", ""1.7709543419749316"", ""1.7651981859837977"", ""1.7586570569486908"", ""1.7948959988168796"", null]",False,https://coinranking.com/coin/sgxZRXbK0FDc+synthetixnetwork-snx,24442205,2.73836488554e-05,"[""polygon/0x50b728d8d964fd00c2d0aad81718b71311fef68a"", ""ethereum/0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f""]","['polygon', 'ethereum']"
mK5Mk8at3,RBN,Ribbon Finance,#ff3204,https://cdn.coinranking.com/j0oJytePV/RBN_64x64.png,588443518,0.588785371968844,1638515391,12.51,120,"[""0.5275835200021615"", ""0.534739838192723"", ""0.5410451898421692"", ""0.5528328630799708"", ""0.5444585419779958"", ""0.5457165421817488"", ""0.5626257616405202"", ""0.5807547720065473"", ""0.5937781608103241"", ""0.5941682504981004"", ""0.5991004124012209"", ""0.5925009025847826"", ""0.5845873879986786"", ""0.577146035363503"", ""0.5846883422670253"", ""0.5919429645973378"", ""0.5903534666002068"", ""0.586968367575681"", ""0.5856584452295354"", ""0.5757162246119827"", ""0.5696219665426507"", ""0.5719595093460529"", ""0.577094233922428"", null]",False,https://coinranking.com/coin/mK5Mk8at3+ribbonfinance-rbn,1558305,8.805509885e-06,"[""ethereum/0x6123B0049F904d730dB3C36a31167D9d4121fA6B""]",['ethereum']
6lL8C3NUn,VENOM,Venom,#3d69ac,https://cdn.coinranking.com/X3RzUltO4/venom.png,300109244,0.1639183585691794,1711409414,5.11,190,"[""0.15618352884358871"", ""0.15918206454662392"", ""0.1629313691361409"", ""0.1658481254099622"", ""0.164356925782286"", ""0.16115141100368002"", ""0.1594601216466388"", ""0.15971588458319802"", ""0.16000862345089037"", ""0.16041646669167522"", ""0.16016755127034651"", ""0.15990880514007472"", ""0.15919218467680296"", ""0.15918039286836425"", ""0.1611969679430888"", ""0.16075560696707636"", ""0.1601381573941102"", ""0.15940473881825756"", ""0.15953006437824185"", ""0.1587969216741871"", ""0.15833829434711263"", ""0.1587198687481451"", ""0.16259323146791627"", null]",False,https://coinranking.com/coin/6lL8C3NUn+venom-venom,2465603,2.4514615943e-06,[],[]
--G3pxvHe,CFG,Wrapped Centrifuge,#000000,https://cdn.coinranking.com/kh5H3FGXt/10898.png,247496848,0.4987252226984046,1651042000,-1.71,213,"[""0.5067324807692071"", ""0.5066421426407169"", ""0.5063510497283625"", ""0.5060956934828033"", ""0.503956547880898"", ""0.5005280978001098"", ""0.5006501141254589"", ""0.5007493065390151"", ""0.5002760730266954"", ""0.5013338369266501"", ""0.5023798662296951"", ""0.500678021015363"", ""0.49479352591889025"", ""0.49356375735240704"", ""0.4958733082271779"", ""0.5004992348625987"", ""0.5011359000748803"", ""0.5020989867281681"", ""0.5001979511704165"", ""0.49504840268126993"", ""0.4876083257278682"", ""0.48642742115295423"", ""0.48799487962112"", null]",False,https://coinranking.com/coin/--G3pxvHe+wrappedcentrifuge-cfg,212646333,7.4586259908e-06,"[""ethereum/0xc221b7E65FfC80DE234bbB6667aBDd46593D34F0""]",['ethereum']
EYAeK5zZP,POLYX,Polymesh,#bc236c,https://cdn.coinranking.com/Wvp9A2PNBB/polymesh.png,228003693,0.2720781713889392,1665132341,-2.46,219,"[""0.2809099967544489"", ""0.28078338766654787"", ""0.2816280725935296"", ""0.28199990291858257"", ""0.2789040363810356"", ""0.279786090188305"", ""0.2800515364007128"", ""0.2807504347563001"", ""0.2822865433849194"", ""0.28232942943578326"", ""0.28306150475362907"", ""0.2797444808810186"", ""0.27693348698361553"", ""0.27554197604160446"", ""0.2769356650300741"", ""0.2770146258081853"", ""0.277061599317772"", ""0.27634834390769186"", ""0.2731749496808055"", ""0.26684234312122124"", ""0.26564645403320536"", ""0.26524477945011826"", ""0.2688519299578384"", null]",False,https://coinranking.com/coin/EYAeK5zZP+polymesh-polyx,14316777,4.0690328627e-06,[],[]
4LaVhzzVe,GFI,Goldfinch,#000000,https://cdn.coinranking.com/Cud-Ci6En/13967.png,225690760,2.9098356148888427,1656317541,-1.68,221,"[""2.9570845931602014"", ""2.965860281797684"", ""2.993303683499829"", ""2.9967307293302117"", ""2.954766052288094"", ""2.9174244530409097"", ""2.9122615343326825"", ""2.9313551335667487"", ""2.9392831325916076"", ""2.9467465744784826"", ""2.9494835359499234"", ""2.9363718008904076"", ""2.9359644475262843"", ""2.937662297839466"", ""2.946308228434706"", ""2.9677135692039314"", ""2.9711384528320908"", ""2.9679462840021102"", ""2.9408914687572763"", ""2.897681336485011"", ""2.8994337010621996"", ""2.8998177749038017"", ""2.9065754222726268"", null]",False,https://coinranking.com/coin/4LaVhzzVe+goldfinch-gfi,14399474,4.35177018496e-05,"[""ethereum/0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b""]",['ethereum']
